Invoice_No,SO_No,Invoice_Date,Customer_No,Customer_Name,Salesman_Code,Salesman_Name,Partnumber,Qty,Retail_Price,Discount,SO_Type
INV2607073169,SO2607073169,01/07/2026,C1002,TB MEGA MULTINDO,001-S1,Yanto Handoko,76D648J462,3,882600,23.06,3
INV2607073170,SO2607073170,04/07/2026,C1002,TB MEGA MULTINDO,001-S1,Yanto Handoko,59E591R827,1,1211100,21.79,3
INV2607073171,SO2607073171,16/07/2026,C1002,TB MEGA MULTINDO,001-S1,Yanto Handoko,52N105K497,12,307200,37.97,3
INV2607073172,SO2607073172,12/07/2026,C1002,TB MEGA MULTINDO,001-S1,Yanto Handoko,81B315G325,1,693100,24.55,3
INV2607073173,SO2607073173,16/07/2026,C1002,TB MEGA MULTINDO,001-S1,Yanto Handoko,36W960M806,21,211900,24.08,3
INV2607073174,SO2607073174,28/07/2026,C1002,TB MEGA MULTINDO,001-S1,Yanto Handoko,61C536A774,1,378600,23.33,3
INV2607073175,SO2607073175,27/07/2026,C1003,TB HARAPAN TEKNIK,001-S2,Budi Darmawan,95D609Y758,2,180700,23.48,3
INV2607073176,SO2607073176,19/07/2026,C1003,TB HARAPAN TEKNIK,001-S2,Budi Darmawan,89L218K963,100,380500,42.92,3
INV2607073177,SO2607073177,25/07/2026,C1003,TB HARAPAN TEKNIK,001-S2,Budi Darmawan,29Y732T634,3,309600,24.31,3
INV2607073178,SO2607073178,16/07/2026,C1003,TB HARAPAN TEKNIK,001-S2,Budi Darmawan,83N966R507,64,183800,21.94,3
INV2607073179,SO2607073179,27/07/2026,C1003,TB HARAPAN TEKNIK,001-S2,Budi Darmawan,47Q258Q275,1,454600,23.51,3
INV2607073180,SO2607073180,04/07/2026,C1003,TB HARAPAN TEKNIK,001-S2,Budi Darmawan,37H411H511,2,81200,22.76,3
INV2607073181,SO2607073181,22/07/2026,C1003,TB HARAPAN TEKNIK,001-S2,Budi Darmawan,77M535E485,4,777700,23.09,3
