Invoice_No,SO_No,Invoice_Date,Customer_No,Customer_Name,Salesman_Code,Salesman_Name,Partnumber,Qty,Retail_Price,Discount,SO_Type
INV2501039435,SO2501039435,04/01/2025,C1005,PD SETIA SPAREPART,001-S2,Budi Darmawan,72U909G754,1,1986400,23.66,3
INV2501039436,SO2501039436,20/01/2025,C1005,PD SETIA SPAREPART,001-S2,Budi Darmawan,72P103N871,5,1000,23.71,3
INV2501039437,SO2501039437,26/01/2025,C1005,PD SETIA SPAREPART,001-S2,Budi Darmawan,55X526H162,1,48700,23.53,3
INV2501039438,SO2501039438,22/01/2025,C1005,PD SETIA SPAREPART,001-S2,Budi Darmawan,92H891F411,143,44600,24.25,3
INV2501039439,SO2501039439,05/01/2025,C1005,PD SETIA SPAREPART,001-S2,Budi Darmawan,69B485S440,9,23400,23.53,3
INV2501039440,SO2501039440,23/01/2025,C1005,PD SETIA SPAREPART,001-S2,Budi Darmawan,51B408K979,2,652900,23.85,3
INV2501039441,SO2501039441,06/01/2025,C1005,PD SETIA SPAREPART,001-S2,Budi Darmawan,75F880M721,1,592600,22.68,3
INV2501039442,SO2501039442,21/01/2025,C1005,PD SETIA SPAREPART,001-S2,Budi Darmawan,45E231P273,56,72000,22.09,3
INV2501039443,SO2501039443,25/01/2025,C1005,PD SETIA SPAREPART,001-S2,Budi Darmawan,57N268M137,1,1032600,23.09,3
INV2501039444,SO2501039444,07/01/2025,C1005,PD SETIA SPAREPART,001-S2,Budi Darmawan,37N358Y580,23,477900,39.4,3
INV2501039445,SO2501039445,02/01/2025,C1005,PD SETIA SPAREPART,001-S2,Budi Darmawan,21S485G404,3,160100,27.37,3
INV2501039446,SO2501039446,27/01/2025,C1005,PD SETIA SPAREPART,001-S2,Budi Darmawan,96Y476L478,1,752200,23.04,3
INV2501039447,SO2501039447,04/01/2025,C1005,PD SETIA SPAREPART,001-S2,Budi Darmawan,88D850P211,1,1000,23.18,3
INV2501039448,SO2501039448,19/01/2025,C1005,PD SETIA SPAREPART,001-S2,Budi Darmawan,96Q332D906,19,99000,22.57,3
INV2501039449,SO2501039449,01/01/2025,C1007,TOKO BUANA KARYA,001-S2,Budi Darmawan,81D707Q543,1,1740200,16.99,3
INV2501039450,SO2501039450,19/01/2025,C1007,TOKO BUANA KARYA,001-S2,Budi Darmawan,56X520T890,5,1000,22.49,3
INV2501039451,SO2501039451,08/01/2025,C1007,TOKO BUANA KARYA,001-S2,Budi Darmawan,43Z966S295,1,18200,22.5,3
INV2501039452,SO2501039452,01/01/2025,C1007,TOKO BUANA KARYA,001-S2,Budi Darmawan,57M624X879,6,121900,23.98,3
INV2501039453,SO2501039453,09/01/2025,C1007,TOKO BUANA KARYA,001-S2,Budi Darmawan,52P247V793,3,200500,21.03,3
INV2501039454,SO2501039454,11/01/2025,C1007,TOKO BUANA KARYA,001-S2,Budi Darmawan,42P103T883,1,675700,24.6,3
INV2501039455,SO2501039455,09/01/2025,C1007,TOKO BUANA KARYA,001-S2,Budi Darmawan,42A118F969,2,1297900,24.13,3
INV2501039456,SO2501039456,17/01/2025,C1007,TOKO BUANA KARYA,001-S2,Budi Darmawan,17Q257A695,2,585400,22.9,3
INV2501039457,SO2501039457,01/01/2025,C1007,TOKO BUANA KARYA,001-S2,Budi Darmawan,96Q332D906,2,195400,25.38,3
INV2501039458,SO2501039458,07/01/2025,C1007,TOKO BUANA KARYA,001-S2,Budi Darmawan,44T632M601,30,340800,36.94,3
INV2501039459,SO2501039459,04/01/2025,C1007,TOKO BUANA KARYA,001-S2,Budi Darmawan,81D707Q543,1,1049000,18.16,3
INV2501039460,SO2501039460,24/01/2025,C1007,TOKO BUANA KARYA,001-S2,Budi Darmawan,33X522S648,1,1640200,20.64,3
INV2501039461,SO2501039461,02/01/2025,C1010,TOKO NUSANTARA PERDANA,001-S2,Budi Darmawan,97Y195W199,2,1000,19.18,3
INV2501039462,SO2501039462,24/01/2025,C1010,TOKO NUSANTARA PERDANA,001-S2,Budi Darmawan,57M624X879,1,164000,23.39,3
INV2501039463,SO2501039463,25/01/2025,C1010,TOKO NUSANTARA PERDANA,001-S2,Budi Darmawan,55X693W912,1,177300,20.49,3
INV2501039464,SO2501039464,08/01/2025,C1010,TOKO NUSANTARA PERDANA,001-S2,Budi Darmawan,56A638K280,8,240000,25.32,3
INV2501039465,SO2501039465,28/01/2025,C1010,TOKO NUSANTARA PERDANA,001-S2,Budi Darmawan,56B477H382,33,24300,23.44,3
INV2501039466,SO2501039466,02/01/2025,C1010,TOKO NUSANTARA PERDANA,001-S2,Budi Darmawan,25V701F998,3,664900,24.47,3
INV2501039467,SO2501039467,07/01/2025,C1010,TOKO NUSANTARA PERDANA,001-S2,Budi Darmawan,18N361Y492,1,1663700,26.45,3
INV2501039468,SO2501039468,05/01/2025,C1010,TOKO NUSANTARA PERDANA,001-S2,Budi Darmawan,86R389C326,2,929200,22.11,3
INV2501039469,SO2501039469,08/01/2025,C1010,TOKO NUSANTARA PERDANA,001-S2,Budi Darmawan,57M624X879,2,121700,23.56,3
INV2501039470,SO2501039470,18/01/2025,C1010,TOKO NUSANTARA PERDANA,001-S2,Budi Darmawan,56B477H382,17,52900,20.31,3
INV2501039471,SO2501039471,20/01/2025,C1012,TOKO NUSANTARA PRATAMA,001-S1,Yanto Handoko,53Y610F686,3,913400,25.3,3
INV2501039472,SO2501039472,02/01/2025,C1013,UD CIPTA MOTOR,001-S4,Wahyu Fauzi,19J756V360,13,76300,21.72,3
INV2501039473,SO2501039473,05/01/2025,C1013,UD CIPTA MOTOR,001-S4,Wahyu Fauzi,19K823Y952,279,68800,19.19,3
INV2501039474,SO2501039474,17/01/2025,C1015,TOKO SELATAN JASA,001-S2,Budi Darmawan,19J756V360,10,1000,21.22,3
INV2501039475,SO2501039475,15/01/2025,C1015,TOKO SELATAN JASA,001-S2,Budi Darmawan,25C592L647,7,545800,27.85,3
INV2501039476,SO2501039476,03/01/2025,C1017,PT CAHAYA MOTOR,002-S4,Maman Susanto,51B217U539,1,1097300,23.63,3
INV2501039477,SO2501039477,18/01/2025,C1017,PT CAHAYA MOTOR,002-S4,Maman Susanto,35E388J640,1,262100,24.79,3
INV2501039478,SO2501039478,06/01/2025,C1020,PT CIPTA SUKSES,002-S3,Teguh Suryana,84N838B423,55,473600,37.5,3
INV2501039479,SO2501039479,27/01/2025,C1020,PT CIPTA SUKSES,002-S3,Teguh Suryana,44D742V508,4,306800,24.76,3
INV2501039480,SO2501039480,09/01/2025,C1020,PT CIPTA SUKSES,002-S3,Teguh Suryana,74L163C435,178,53100,19.14,3
INV2501039481,SO2501039481,21/01/2025,C1021,TOKO GEMILANG SERVIS,002-S4,Maman Susanto,74L163C435,155,28300,23.3,3
INV2501039482,SO2501039482,06/01/2025,C1021,TOKO GEMILANG SERVIS,002-S4,Maman Susanto,19K823Y952,114,56500,22.0,3
INV2501039483,SO2501039483,18/01/2025,C1023,TOKO JAYA PARTS,002-S3,Teguh Suryana,28Q472X142,1,239000,19.06,3
INV2501039484,SO2501039484,07/01/2025,C1023,TOKO JAYA PARTS,002-S3,Teguh Suryana,56N362A527,4,291900,23.38,3
INV2501039485,SO2501039485,23/01/2025,C1023,TOKO JAYA PARTS,002-S3,Teguh Suryana,37N358Y580,14,282400,38.68,3
INV2501039486,SO2501039486,16/01/2025,C1024,TB SURYA MAKMUR,002-S3,Teguh Suryana,10L511K452,4,1000,29.7,3
INV2501039487,SO2501039487,19/01/2025,C1024,TB SURYA MAKMUR,002-S3,Teguh Suryana,50T574U367,1,1038200,23.03,3
INV2501039488,SO2501039488,23/01/2025,C1024,TB SURYA MAKMUR,002-S3,Teguh Suryana,35Q220J374,1,312200,25.7,3
INV2501039489,SO2501039489,08/01/2025,C1027,CV LOGAM OTOMOTIF,002-S4,Maman Susanto,81E731X548,3,658800,20.94,3
INV2501039490,SO2501039490,17/01/2025,C1027,CV LOGAM OTOMOTIF,002-S4,Maman Susanto,56R464Q393,3,676900,15.83,3
INV2501039491,SO2501039491,01/01/2025,C1027,CV LOGAM OTOMOTIF,002-S4,Maman Susanto,14X616U370,5,659400,22.94,3
INV2501039492,SO2501039492,14/01/2025,C1027,CV LOGAM OTOMOTIF,002-S4,Maman Susanto,11Q381N854,3,387900,19.86,3
INV2501039493,SO2501039493,04/01/2025,C1029,TOKO PUTRA UTAMA,002-S3,Teguh Suryana,79E601B153,1,1185600,22.96,3
INV2501039494,SO2501039494,07/01/2025,C1029,TOKO PUTRA UTAMA,002-S3,Teguh Suryana,94R957Z655,1,236900,21.67,3
INV2501039495,SO2501039495,06/01/2025,C1030,UD MANDIRI BENGKEL,002-S2,Agus Halim,85P440L610,10,268800,37.23,3
INV2501039496,SO2501039496,17/01/2025,C1030,UD MANDIRI BENGKEL,002-S2,Agus Halim,36G554V838,3,812800,26.32,3
INV2501039497,SO2501039497,02/01/2025,C1032,TB HARAPAN NIAGA,002-S3,Teguh Suryana,30T775S770,1,1000,24.09,3
INV2501039498,SO2501039498,14/01/2025,C1032,TB HARAPAN NIAGA,002-S3,Teguh Suryana,37P869A503,1,60200,22.82,3
INV2501039499,SO2501039499,19/01/2025,C1032,TB HARAPAN NIAGA,002-S3,Teguh Suryana,16M768T328,9,313300,22.12,3
INV2501039500,SO2501039500,28/01/2025,C1032,TB HARAPAN NIAGA,002-S3,Teguh Suryana,15T281N954,1,536600,23.72,3
INV2501039501,SO2501039501,11/01/2025,C1032,TB HARAPAN NIAGA,002-S3,Teguh Suryana,42F316S615,4,767200,23.03,3
INV2501039502,SO2501039502,10/01/2025,C1033,CV PERSADA PERDANA,002-S2,Agus Halim,55H940F852,1,345700,22.34,3
INV2501039503,SO2501039503,10/01/2025,C1033,CV PERSADA PERDANA,002-S2,Agus Halim,62V738Y137,4,672900,26.42,3
INV2501039504,SO2501039504,12/01/2025,C1033,CV PERSADA PERDANA,002-S2,Agus Halim,88J726M196,4,976300,23.8,3
INV2501039505,SO2501039505,22/01/2025,C1037,UD HARAPAN MANDIRI,003-S6,Dani Nugraha,87U477Z577,1,1729100,24.06,3
INV2501039506,SO2501039506,27/01/2025,C1037,UD HARAPAN MANDIRI,003-S6,Dani Nugraha,59B257Z511,3,155400,20.69,3
INV2501039507,SO2501039507,14/01/2025,C1039,CV PUTRA BENGKEL,003-S3,Maman Permana,94D594J776,1,123800,24.57,3
INV2501039508,SO2501039508,10/01/2025,C1039,CV PUTRA BENGKEL,003-S3,Maman Permana,70Z186V901,7,208800,36.87,3
INV2501039509,SO2501039509,19/01/2025,C1041,PT MAKMUR DIESEL MOTOR,003-S2,Wibowo Cahyadi,84N838B423,86,347500,36.38,3
INV2501039510,SO2501039510,20/01/2025,C1044,PT BERKAH KARYA,003-S3,Maman Permana,49N712H842,1,1461400,22.76,3
INV2501039511,SO2501039511,14/01/2025,C1045,PT SURYA DIESEL MOTOR,003-S2,Wibowo Cahyadi,74L163C435,93,78700,20.85,3
INV2501039512,SO2501039512,02/01/2025,C1045,PT SURYA DIESEL MOTOR,003-S2,Wibowo Cahyadi,30B942H115,4,554400,23.43,3
INV2501039513,SO2501039513,15/01/2025,C1045,PT SURYA DIESEL MOTOR,003-S2,Wibowo Cahyadi,70Z186V901,62,536600,38.88,3
INV2501039514,SO2501039514,13/01/2025,C1045,PT SURYA DIESEL MOTOR,003-S2,Wibowo Cahyadi,97P770Z553,150,22000,22.19,3
INV2501039515,SO2501039515,27/01/2025,C1045,PT SURYA DIESEL MOTOR,003-S2,Wibowo Cahyadi,20T309S220,1,609100,24.04,3
INV2501039516,SO2501039516,02/01/2025,C1046,TOKO BERSAMA AUTOPARTS,003-S5,Gunawan Hartono,46E561R940,2,310800,21.52,3
INV2501039517,SO2501039517,10/01/2025,C1046,TOKO BERSAMA AUTOPARTS,003-S5,Gunawan Hartono,41E185V152,1,171100,20.84,3
INV2501039518,SO2501039518,10/01/2025,C1047,CV MANDIRI AUTO,003-S6,Dani Nugraha,50P721E515,1,1000,26.29,3
INV2501039519,SO2501039519,13/01/2025,C1047,CV MANDIRI AUTO,003-S6,Dani Nugraha,35T712T457,1,526900,17.03,3
INV2501039520,SO2501039520,04/01/2025,C1047,CV MANDIRI AUTO,003-S6,Dani Nugraha,65V753N609,3,616700,15.85,3
INV2501039521,SO2501039521,16/01/2025,C1047,CV MANDIRI AUTO,003-S6,Dani Nugraha,37V657V726,1,1003400,23.55,3
INV2501039522,SO2501039522,20/01/2025,C1047,CV MANDIRI AUTO,003-S6,Dani Nugraha,16M768T328,5,143100,25.91,3
INV2501039523,SO2501039523,26/01/2025,C1047,CV MANDIRI AUTO,003-S6,Dani Nugraha,69B485S440,8,43200,22.97,3
INV2501039524,SO2501039524,26/01/2025,C1047,CV MANDIRI AUTO,003-S6,Dani Nugraha,61D734T498,2,88800,14.38,3
INV2501039525,SO2501039525,11/01/2025,C1050,TOKO PERKASA SPAREPART,003-S4,Surya Suryadi,96P290L141,1,153000,21.38,3
INV2501039526,SO2501039526,06/01/2025,C1052,TOKO AGUNG SERVIS,003-S5,Gunawan Hartono,57M624X879,27,80900,26.0,3
INV2501039527,SO2501039527,22/01/2025,C1058,PT SEJAHTERA PRATAMA,003-S4,Surya Suryadi,92L152Y358,2,259600,14.86,3
INV2501039528,SO2501039528,05/01/2025,C1058,PT SEJAHTERA PRATAMA,003-S4,Surya Suryadi,55H452L379,2,133100,24.32,3
INV2501039529,SO2501039529,11/01/2025,C1058,PT SEJAHTERA PRATAMA,003-S4,Surya Suryadi,96Q332D906,21,190900,25.97,3
INV2501039530,SO2501039530,06/01/2025,C1059,PT UTAMA DIESEL,003-S5,Gunawan Hartono,57M624X879,15,163800,23.35,3
INV2501039531,SO2501039531,23/01/2025,C1059,PT UTAMA DIESEL,003-S5,Gunawan Hartono,54S577L373,1,455900,25.75,3
INV2501039532,SO2501039532,15/01/2025,C1059,PT UTAMA DIESEL,003-S5,Gunawan Hartono,29L421G276,2,965200,23.71,3
INV2501039533,SO2501039533,12/01/2025,C1063,CV SURYA OTOMOTIF,003-S6,Dani Nugraha,16M768T328,17,245100,24.22,3
INV2501039534,SO2501039534,01/01/2025,C1063,CV SURYA OTOMOTIF,003-S6,Dani Nugraha,57M624X879,3,205500,24.54,3
INV2501039535,SO2501039535,26/01/2025,C1066,CV BARAT DIESEL,004-S3,Irfan Susanto,45F490L650,4,1000,20.94,3
INV2501039536,SO2501039536,27/01/2025,C1066,CV BARAT DIESEL,004-S3,Irfan Susanto,84N838B423,14,355700,38.99,3
INV2501039537,SO2501039537,02/01/2025,C1066,CV BARAT DIESEL,004-S3,Irfan Susanto,45E231P273,11,57800,22.24,3
INV2501039538,SO2501039538,23/01/2025,C1066,CV BARAT DIESEL,004-S3,Irfan Susanto,94J176W472,1,770500,22.44,3
INV2501039539,SO2501039539,23/01/2025,C1068,PT JAYA RAYA,004-S2,Yanto Pratama,36F449F491,1,1000,26.52,3
INV2501039540,SO2501039540,06/01/2025,C1071,UD PERSADA PERKASA,004-S1,Joko Rahayu,14M417F780,7,1564300,23.82,3
INV2501039541,SO2501039541,14/01/2025,C1073,CV PERKASA NIAGA,004-S2,Yanto Pratama,64U552H849,4,176600,20.71,3
INV2501039542,SO2501039542,10/01/2025,C1074,TB ANUGERAH SUKSES,004-S1,Joko Rahayu,74X815A709,2,296800,17.19,3
INV2501039543,SO2501039543,09/01/2025,C1074,TB ANUGERAH SUKSES,004-S1,Joko Rahayu,96R745N936,1,42900,19.08,3
INV2501039544,SO2501039544,28/01/2025,C1074,TB ANUGERAH SUKSES,004-S1,Joko Rahayu,50R140X374,2,283300,22.9,3
INV2501039545,SO2501039545,15/01/2025,C1075,TB SENTOSA JASA,004-S2,Yanto Pratama,43C435B889,2,844000,26.17,3
INV2501039546,SO2501039546,25/01/2025,C1076,TOKO BUANA MAKMUR,004-S1,Joko Rahayu,41M520A284,4,200800,24.17,3
INV2501039547,SO2501039547,17/01/2025,C1076,TOKO BUANA MAKMUR,004-S1,Joko Rahayu,16M768T328,1,144400,23.13,3
INV2501039548,SO2501039548,01/01/2025,C1078,PT KARYA BERSATU,004-S2,Yanto Pratama,13L526S609,3,169400,25.4,3
