Invoice_No,SO_No,Invoice_Date,Customer_No,Customer_Name,Salesman_Code,Salesman_Name,Partnumber,Qty,Retail_Price,Discount,SO_Type
INV2407031831,SO2407031831,16/07/2024,C1002,TB MEGA MULTINDO,001-S2,Budi Darmawan,96J356R723,2,469400,25.22,3
INV2407031832,SO2407031832,17/07/2024,C1002,TB MEGA MULTINDO,001-S2,Budi Darmawan,44N767H309,1,538500,24.01,3
INV2407031833,SO2407031833,23/07/2024,C1002,TB MEGA MULTINDO,001-S2,Budi Darmawan,63F416W427,2,106400,19.67,3
INV2407031834,SO2407031834,18/07/2024,C1002,TB MEGA MULTINDO,001-S2,Budi Darmawan,57M624X879,9,1000,23.63,3
INV2407031835,SO2407031835,19/07/2024,C1002,TB MEGA MULTINDO,001-S2,Budi Darmawan,91Y682Y798,4,585500,24.77,3
INV2407031836,SO2407031836,22/07/2024,C1012,TOKO NUSANTARA PRATAMA,001-S2,Budi Darmawan,84N838B423,33,555000,38.0,3
INV2407031837,SO2407031837,20/07/2024,C1015,TOKO SELATAN JASA,001-S3,Sigit Pratama,88W413H899,1,947400,23.56,3
INV2407031838,SO2407031838,14/07/2024,C1017,PT CAHAYA MOTOR,002-S1,Kusuma Darmawan,90Z603Z817,1,1167800,17.61,3
INV2407031839,SO2407031839,10/07/2024,C1017,PT CAHAYA MOTOR,002-S1,Kusuma Darmawan,16N588N106,5,787000,24.66,3
INV2407031840,SO2407031840,11/07/2024,C1017,PT CAHAYA MOTOR,002-S1,Kusuma Darmawan,37N358Y580,18,287400,35.01,3
INV2407031841,SO2407031841,14/07/2024,C1020,PT CIPTA SUKSES,002-S1,Kusuma Darmawan,27H140Y942,8,805200,21.46,3
INV2407031842,SO2407031842,19/07/2024,C1020,PT CIPTA SUKSES,002-S1,Kusuma Darmawan,70Z186V901,127,362000,39.2,3
INV2407031843,SO2407031843,08/07/2024,C1021,TOKO GEMILANG SERVIS,002-S3,Teguh Suryana,44T632M601,5,424400,39.66,3
