Invoice_No,SO_No,Invoice_Date,Customer_No,Customer_Name,Salesman_Code,Salesman_Name,Partnumber,Qty,Retail_Price,Discount,SO_Type
INV2401024433,SO2401024433,26/01/2024,C1002,TB MEGA MULTINDO,001-S3,Sigit Pratama,43K359P654,78,295400,35.18,3
INV2401024434,SO2401024434,25/01/2024,C1002,TB MEGA MULTINDO,001-S3,Sigit Pratama,25V701F998,1,1405800,24.02,3
INV2401024435,SO2401024435,11/01/2024,C1002,TB MEGA MULTINDO,001-S3,Sigit Pratama,33X522S648,1,1798100,19.48,3
INV2401024436,SO2401024436,27/01/2024,C1002,TB MEGA MULTINDO,001-S3,Sigit Pratama,57M624X879,1,224000,24.67,3
INV2401024437,SO2401024437,08/01/2024,C1002,TB MEGA MULTINDO,001-S3,Sigit Pratama,50D857L888,1,1000,22.46,3
INV2401024438,SO2401024438,05/01/2024,C1003,TB HARAPAN TEKNIK,001-S4,Wahyu Fauzi,57M624X879,27,388500,21.23,3
INV2401024439,SO2401024439,07/01/2024,C1006,CV UTARA PERDANA,001-S4,Wahyu Fauzi,84H121D620,1,1776000,23.49,3
INV2401024440,SO2401024440,28/01/2024,C1010,TOKO NUSANTARA PERDANA,001-S4,Wahyu Fauzi,70Z186V901,4,161200,38.91,3
INV2401024441,SO2401024441,14/01/2024,C1010,TOKO NUSANTARA PERDANA,001-S4,Wahyu Fauzi,48P763Z436,4,206000,21.62,3
INV2401024442,SO2401024442,12/01/2024,C1010,TOKO NUSANTARA PERDANA,001-S4,Wahyu Fauzi,79S601T968,1,153600,25.16,3
INV2401024443,SO2401024443,22/01/2024,C1010,TOKO NUSANTARA PERDANA,001-S4,Wahyu Fauzi,56B477H382,321,35400,20.94,3
INV2401024444,SO2401024444,05/01/2024,C1010,TOKO NUSANTARA PERDANA,001-S4,Wahyu Fauzi,17X470P704,4,681400,22.54,3
INV2401024445,SO2401024445,13/01/2024,C1010,TOKO NUSANTARA PERDANA,001-S4,Wahyu Fauzi,70K102S620,2,429400,27.62,3
INV2401024446,SO2401024446,16/01/2024,C1010,TOKO NUSANTARA PERDANA,001-S4,Wahyu Fauzi,85P440L610,38,281300,38.22,3
INV2401024447,SO2401024447,03/01/2024,C1010,TOKO NUSANTARA PERDANA,001-S4,Wahyu Fauzi,43K359P654,3,175100,38.54,3
INV2401024448,SO2401024448,27/01/2024,C1012,TOKO NUSANTARA PRATAMA,001-S3,Sigit Pratama,53U410U370,3,300900,23.81,3
INV2401024449,SO2401024449,15/01/2024,C1012,TOKO NUSANTARA PRATAMA,001-S3,Sigit Pratama,44T632M601,45,354100,38.02,3
INV2401024450,SO2401024450,13/01/2024,C1012,TOKO NUSANTARA PRATAMA,001-S3,Sigit Pratama,19J756V360,31,34700,23.18,3
INV2401024451,SO2401024451,27/01/2024,C1012,TOKO NUSANTARA PRATAMA,001-S3,Sigit Pratama,57F704J786,7,803100,22.15,3
INV2401024452,SO2401024452,16/01/2024,C1012,TOKO NUSANTARA PRATAMA,001-S3,Sigit Pratama,57M624X879,14,166800,21.87,3
INV2401024453,SO2401024453,02/01/2024,C1017,PT CAHAYA MOTOR,002-S3,Teguh Suryana,96Q332D906,9,92100,23.71,3
INV2401024454,SO2401024454,13/01/2024,C1017,PT CAHAYA MOTOR,002-S3,Teguh Suryana,43K359P654,26,166600,38.28,3
INV2401024455,SO2401024455,08/01/2024,C1017,PT CAHAYA MOTOR,002-S3,Teguh Suryana,42R634N550,1,693200,24.5,3
INV2401024456,SO2401024456,04/01/2024,C1017,PT CAHAYA MOTOR,002-S3,Teguh Suryana,96Q332D906,64,323600,20.84,3
INV2401024457,SO2401024457,19/01/2024,C1017,PT CAHAYA MOTOR,002-S3,Teguh Suryana,95M390K208,197,23000,18.52,3
INV2401024458,SO2401024458,15/01/2024,C1019,CV INDAH PERDANA,002-S3,Teguh Suryana,26P115W528,4,126400,20.2,3
INV2401024459,SO2401024459,16/01/2024,C1019,CV INDAH PERDANA,002-S3,Teguh Suryana,33X522S648,1,1317000,20.39,3
INV2401024460,SO2401024460,21/01/2024,C1020,PT CIPTA SUKSES,002-S2,Agus Halim,67G816G305,6,505900,21.66,3
INV2401024461,SO2401024461,26/01/2024,C1020,PT CIPTA SUKSES,002-S2,Agus Halim,84N838B423,3,343200,38.36,3
INV2401024462,SO2401024462,05/01/2024,C1020,PT CIPTA SUKSES,002-S2,Agus Halim,96E654F696,197,44600,24.83,3
INV2401024463,SO2401024463,04/01/2024,C1020,PT CIPTA SUKSES,002-S2,Agus Halim,97J333S130,4,93300,25.94,3
INV2401024464,SO2401024464,07/01/2024,C1020,PT CIPTA SUKSES,002-S2,Agus Halim,89Z967T195,2,689800,23.65,3
INV2401024465,SO2401024465,11/01/2024,C1020,PT CIPTA SUKSES,002-S2,Agus Halim,92H891F411,76,25400,22.9,3
INV2401024466,SO2401024466,14/01/2024,C1021,TOKO GEMILANG SERVIS,002-S3,Teguh Suryana,13G455S466,1,821100,25.65,3
INV2401024467,SO2401024467,20/01/2024,C1021,TOKO GEMILANG SERVIS,002-S3,Teguh Suryana,16M768T328,17,188700,24.93,3
INV2401024468,SO2401024468,14/01/2024,C1021,TOKO GEMILANG SERVIS,002-S3,Teguh Suryana,16M768T328,30,168300,24.23,3
INV2401024469,SO2401024469,10/01/2024,C1023,TOKO JAYA PARTS,002-S4,Maman Susanto,25D871S921,1,34900,19.03,3
INV2401024470,SO2401024470,22/01/2024,C1023,TOKO JAYA PARTS,002-S4,Maman Susanto,37N358Y580,25,334200,38.83,3
INV2401024471,SO2401024471,04/01/2024,C1023,TOKO JAYA PARTS,002-S4,Maman Susanto,50U540F140,2,1000,24.86,3
INV2401024472,SO2401024472,13/01/2024,C1023,TOKO JAYA PARTS,002-S4,Maman Susanto,97R262E384,1,247400,25.38,3
INV2401024473,SO2401024473,28/01/2024,C1023,TOKO JAYA PARTS,002-S4,Maman Susanto,57M624X879,2,257300,22.93,3
INV2401024474,SO2401024474,08/01/2024,C1023,TOKO JAYA PARTS,002-S4,Maman Susanto,19J756V360,99,1000,22.76,3
INV2401024475,SO2401024475,19/01/2024,C1023,TOKO JAYA PARTS,002-S4,Maman Susanto,64H659F782,1,492600,20.98,3
INV2401024476,SO2401024476,12/01/2024,C1023,TOKO JAYA PARTS,002-S4,Maman Susanto,61P415T327,1,538500,21.68,3
INV2401024477,SO2401024477,18/01/2024,C1023,TOKO JAYA PARTS,002-S4,Maman Susanto,66F335Z449,1,260300,25.36,3
INV2401024478,SO2401024478,22/01/2024,C1024,TB SURYA MAKMUR,002-S3,Teguh Suryana,36T231Q413,1,1275300,23.11,3
INV2401024479,SO2401024479,09/01/2024,C1024,TB SURYA MAKMUR,002-S3,Teguh Suryana,56G389T264,5,631800,20.81,3
INV2401024480,SO2401024480,04/01/2024,C1024,TB SURYA MAKMUR,002-S3,Teguh Suryana,73A189C239,5,999000,23.06,3
INV2401024481,SO2401024481,07/01/2024,C1024,TB SURYA MAKMUR,002-S3,Teguh Suryana,97P770Z553,33,63100,25.14,3
