Invoice_No,SO_No,Invoice_Date,Customer_No,Customer_Name,Salesman_Code,Salesman_Name,Partnumber,Qty,Retail_Price,Discount,SO_Type
INV2307019104,SO2307019104,04/07/2023,C1001,PD MANDIRI BERSATU,001-S3,Sigit Pratama,36W960M806,3,235700,23.62,3
INV2307019105,SO2307019105,18/07/2023,C1002,TB MEGA MULTINDO,001-S1,Yanto Handoko,70M798R331,3,399200,22.97,3
INV2307019106,SO2307019106,03/07/2023,C1003,TB HARAPAN TEKNIK,001-S1,Yanto Handoko,89Q444L720,1,2163200,27.45,3
INV2307019107,SO2307019107,27/07/2023,C1003,TB HARAPAN TEKNIK,001-S1,Yanto Handoko,85T592W149,1,471100,25.12,3
INV2307019108,SO2307019108,11/07/2023,C1003,TB HARAPAN TEKNIK,001-S1,Yanto Handoko,22G333G721,3,719900,21.69,3
INV2307019109,SO2307019109,17/07/2023,C1003,TB HARAPAN TEKNIK,001-S1,Yanto Handoko,50U341R107,2,1000,22.82,3
INV2307019110,SO2307019110,13/07/2023,C1003,TB HARAPAN TEKNIK,001-S1,Yanto Handoko,13E673S236,1,515500,23.35,3
INV2307019111,SO2307019111,08/07/2023,C1007,TOKO BUANA KARYA,001-S4,Wahyu Fauzi,72N148E767,3,1002200,21.39,3
INV2307019112,SO2307019112,01/07/2023,C1007,TOKO BUANA KARYA,001-S4,Wahyu Fauzi,72A282R730,2,1000,21.47,3
INV2307019113,SO2307019113,06/07/2023,C1008,PD SENTOSA GEMILANG,001-S3,Sigit Pratama,87Q558A162,2,84000,23.73,3
INV2307019114,SO2307019114,22/07/2023,C1008,PD SENTOSA GEMILANG,001-S3,Sigit Pratama,25Y141Y586,116,1000,21.26,3
INV2307019115,SO2307019115,06/07/2023,C1008,PD SENTOSA GEMILANG,001-S3,Sigit Pratama,19Q107Y707,34,107700,24.27,3
INV2307019116,SO2307019116,23/07/2023,C1008,PD SENTOSA GEMILANG,001-S3,Sigit Pratama,46A649W573,3,524700,17.44,3
INV2307019117,SO2307019117,22/07/2023,C1008,PD SENTOSA GEMILANG,001-S3,Sigit Pratama,64N417G347,3,617900,15.83,3
INV2307019118,SO2307019118,23/07/2023,C1008,PD SENTOSA GEMILANG,001-S3,Sigit Pratama,69C267N388,5,141800,23.89,3
INV2307019119,SO2307019119,10/07/2023,C1009,TB LOGAM MULTINDO,001-S4,Wahyu Fauzi,24F260C642,1,1300800,24.63,3
INV2307019120,SO2307019120,15/07/2023,C1009,TB LOGAM MULTINDO,001-S4,Wahyu Fauzi,78W750Y742,1,747600,23.66,3
INV2307019121,SO2307019121,01/07/2023,C1009,TB LOGAM MULTINDO,001-S4,Wahyu Fauzi,85B242Y542,2,786600,19.85,3
INV2307019122,SO2307019122,11/07/2023,C1009,TB LOGAM MULTINDO,001-S4,Wahyu Fauzi,81K524P681,5,1040100,24.71,3
INV2307019123,SO2307019123,04/07/2023,C1011,PD PERKASA GEMILANG,001-S2,Budi Darmawan,36W960M806,19,228700,23.25,3
INV2307019124,SO2307019124,15/07/2023,C1011,PD PERKASA GEMILANG,001-S2,Budi Darmawan,39U275C392,1,798800,21.67,3
INV2307019125,SO2307019125,03/07/2023,C1011,PD PERKASA GEMILANG,001-S2,Budi Darmawan,79A509G922,2,148600,21.66,3
INV2307019126,SO2307019126,26/07/2023,C1011,PD PERKASA GEMILANG,001-S2,Budi Darmawan,70Y738J607,161,20200,22.79,3
INV2307019127,SO2307019127,03/07/2023,C1011,PD PERKASA GEMILANG,001-S2,Budi Darmawan,79A482D109,1,431200,25.64,3
INV2307019128,SO2307019128,09/07/2023,C1011,PD PERKASA GEMILANG,001-S2,Budi Darmawan,25U670N470,1,1094100,24.0,3
INV2307019129,SO2307019129,11/07/2023,C1011,PD PERKASA GEMILANG,001-S2,Budi Darmawan,29Y732T634,57,308300,26.92,3
INV2307019130,SO2307019130,19/07/2023,C1011,PD PERKASA GEMILANG,001-S2,Budi Darmawan,56L182T947,16,587200,25.33,3
INV2307019131,SO2307019131,06/07/2023,C1012,TOKO NUSANTARA PRATAMA,001-S1,Yanto Handoko,87S573F826,8,292300,21.39,3
INV2307019132,SO2307019132,25/07/2023,C1012,TOKO NUSANTARA PRATAMA,001-S1,Yanto Handoko,85Z755S887,1,1444900,27.68,3
INV2307019133,SO2307019133,10/07/2023,C1013,UD CIPTA MOTOR,001-S1,Yanto Handoko,24U723R496,4,661000,23.95,3
INV2307019134,SO2307019134,05/07/2023,C1013,UD CIPTA MOTOR,001-S1,Yanto Handoko,37Y936G402,1,42500,20.33,3
INV2307019135,SO2307019135,09/07/2023,C1013,UD CIPTA MOTOR,001-S1,Yanto Handoko,58D628N636,1,232300,21.42,3
INV2307019136,SO2307019136,02/07/2023,C1014,PT PUTRA RAYA,001-S1,Yanto Handoko,89L218K963,8,437800,38.61,3
INV2307019137,SO2307019137,01/07/2023,C1014,PT PUTRA RAYA,001-S1,Yanto Handoko,44Y684N241,3,620800,25.3,3
INV2307019138,SO2307019138,21/07/2023,C1014,PT PUTRA RAYA,001-S1,Yanto Handoko,71J223B266,53,289000,37.75,3
INV2307019139,SO2307019139,06/07/2023,C1014,PT PUTRA RAYA,001-S1,Yanto Handoko,12C840J750,4,1000,17.2,3
INV2307019140,SO2307019140,16/07/2023,C1014,PT PUTRA RAYA,001-S1,Yanto Handoko,38B790F133,42,230100,34.59,3
INV2307019141,SO2307019141,19/07/2023,C1015,TOKO SELATAN JASA,001-S2,Budi Darmawan,29Y732T634,11,198800,23.63,3
INV2307019142,SO2307019142,06/07/2023,C1015,TOKO SELATAN JASA,001-S2,Budi Darmawan,25Y141Y586,20,20800,22.26,3
INV2307019143,SO2307019143,21/07/2023,C1015,TOKO SELATAN JASA,001-S2,Budi Darmawan,71H293F964,1,206500,25.24,3
